Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
Big 10,138.0,127.0,28.7,4.3,9.0,0.473,3.0,5.8,0.518,1.3,3.2,0.392,2.1,2.5,0.82,1.9,3.7,5.6,2.9,0.5,0.5,1.7,2.0,11.9,8.15,5,Vince Edwards,52,52,UTA,Purdue,1.0,2.0,16.0,3.0,2.0,0.0,0.25,0.25,,8.0,1.5,1.0,0.0,0.0,-0.014,-6.4,0.0,2018
ACC,128.0,89.0,24.0,2.4,5.7,0.419,1.5,3.4,0.44,0.9,2.3,0.389,1.2,1.5,0.807,0.3,2.8,3.2,2.1,0.6,0.2,0.9,1.4,6.9,9.73,5,Devon Hall,53,53,OKC,Virginia,1.0,11.0,81.0,20.0,7.0,13.0,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1,2018
AAC,87.0,80.0,34.7,4.5,9.9,0.452,2.3,4.8,0.478,2.2,5.1,0.427,2.3,2.9,0.791,0.4,3.4,3.9,3.9,1.1,0.4,1.8,1.6,13.4,4.22,4,Shake Milton,54,54,DAL,SMU,5.0,215.0,4591.0,2110.0,523.0,582.0,0.457,0.361,0.822,21.4,9.8,2.4,2.7,8.7,0.091,-1.7,0.3,2018
ACC,100.0,48.0,21.7,3.3,6.0,0.557,3.3,5.7,0.571,0.1,0.3,0.24,1.4,2.5,0.579,2.3,4.0,6.3,0.9,1.0,1.1,1.3,2.6,8.1,9.32,4,Ray Spalding,56,56,PHI,Louisville,2.0,16.0,167.0,58.0,52.0,5.0,0.529,0.0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-6.2,-0.2,2018
WAC,115.0,84.0,27.7,5.5,12.5,0.44,3.7,7.0,0.53,1.8,5.5,0.324,2.8,3.6,0.768,1.9,6.1,8.0,1.9,1.0,0.5,2.1,1.9,15.5,-2.12,5,Kevin Hervey,57,57,OKC,UT Arlington,1.0,10.0,52.0,17.0,12.0,5.0,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0.0,2018
Pac 12,132.0,94.0,25.0,4.0,7.5,0.537,3.7,6.6,0.554,0.3,0.9,0.407,1.0,1.3,0.798,2.4,5.5,7.8,0.8,0.4,1.1,0.7,2.5,9.5,7.8,5,Thomas Welsh,58,58,DEN,UCLA,1.0,11.0,36.0,18.0,4.0,5.0,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0.0,2018
Pac 12,127.0,89.0,22.6,3.5,7.9,0.444,2.1,4.3,0.478,1.4,3.6,0.401,1.8,2.4,0.731,1.4,3.9,5.4,0.7,0.4,0.3,1.5,1.8,10.2,7.36,5,George King,59,59,PHO,Colorado,2.0,5.0,25.0,1.0,6.0,0.0,0.0,0.0,0.5,5.0,0.2,1.2,0.0,-0.1,-0.225,-17.2,-0.1,2018
A10,29.0,6.0,15.1,2.0,3.5,0.574,1.9,3.0,0.651,0.1,0.5,0.133,1.1,2.2,0.516,0.8,2.0,2.9,0.4,0.2,1.1,1.3,2.3,5.2,2.71,2,Kostas Antetokounmpo,60,60,PHI,Dayton,3.0,22.0,87.0,21.0,23.0,3.0,0.375,,0.474,4.0,1.0,1.0,0.1,-0.2,-0.098,-9.9,-0.2,2018
ACC,33.0,33.0,30.0,9.0,13.2,0.68,8.2,11.0,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,11.98,2,Zion Williamson,1,1,NOP,Duke,3.0,114.0,3650.0,2941.0,793.0,409.0,0.605,0.343,0.691,32.0,25.8,7.0,3.6,14.5,0.19,5.2,6.6,2019
Ohio Valley,65.0,65.0,35.3,6.1,12.6,0.485,4.8,8.9,0.545,1.3,3.8,0.343,5.1,6.3,0.81,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,-3.32,3,Ja Morant,2,2,MEM,Murray State,4.0,221.0,7117.0,4898.0,1037.0,1604.0,0.473,0.325,0.754,32.2,22.2,4.7,7.3,17.5,0.118,2.5,8.2,2019
ACC,38.0,38.0,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,11.98,2,RJ Barrett,3,3,NYK,Duke,4.0,234.0,7865.0,4187.0,1300.0,676.0,0.419,0.353,0.708,33.6,17.9,5.6,2.9,7.3,0.045,-2.1,-0.3,2019
ACC,71.0,38.0,26.6,4.4,8.5,0.509,3.4,6.3,0.541,0.9,2.3,0.419,2.8,3.6,0.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,9.6,4,De'Andre Hunter,4,4,LAL,Virginia,4.0,172.0,5316.0,2341.0,719.0,265.0,0.437,0.357,0.792,30.9,13.6,4.2,1.5,4.2,0.038,-3.5,-2.0,2019
SEC,5.0,5.0,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,7.79,2,Darius Garland,5,5,CLE,Vanderbilt,4.0,215.0,7261.0,3867.0,556.0,1407.0,0.444,0.381,0.871,33.8,18.0,2.6,6.5,9.7,0.064,-0.7,2.3,2019
Big 12,75.0,58.0,29.5,5.3,11.6,0.459,3.9,7.5,0.522,1.4,4.1,0.341,2.9,4.2,0.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2.0,14.9,9.56,3,Jarrett Culver,6,6,PHO,Texas Tech,4.0,144.0,2480.0,934.0,402.0,173.0,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6,2019
ACC,35.0,35.0,28.5,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,0.353,3.0,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,2,Coby White,7,7,CHI,UNC,4.0,229.0,6210.0,2939.0,782.0,740.0,0.413,0.364,0.844,27.1,12.8,3.4,3.2,6.5,0.05,-2.4,-0.6,2019
Big 12,32.0,21.0,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0.0,0.0,,2.3,3.1,0.74,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,11.46,2,Jaxson Hayes,8,8,ATL,Texas,4.0,216.0,3740.0,1682.0,898.0,153.0,0.626,0.323,0.718,17.3,7.8,4.2,0.7,13.2,0.169,0.1,1.9,2019
WCC,102.0,39.0,19.7,4.5,7.8,0.579,4.3,7.1,0.607,0.2,0.7,0.316,2.8,3.7,0.746,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1,3.91,4,Rui Hachimura,9,9,WAS,Gonzaga,4.0,173.0,4811.0,2248.0,883.0,248.0,0.479,0.359,0.778,27.8,13.0,5.1,1.4,6.0,0.06,-2.7,-0.8,2019
ACC,36.0,35.0,29.7,4.3,12.0,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,11.98,2,Cam Reddish,10,10,ATL,Duke,4.0,153.0,3751.0,1567.0,456.0,190.0,0.393,0.323,0.844,24.5,10.2,3.0,1.2,1.7,0.022,-3.0,-1.0,2019
ACC,135.0,90.0,25.4,3.8,8.4,0.457,1.9,3.6,0.523,1.9,4.7,0.405,1.7,2.0,0.817,1.1,3.0,4.1,1.8,0.8,0.3,1.0,1.8,11.2,10.06,8,Cameron Johnson,11,11,MIN,UNC,4.0,191.0,4624.0,2003.0,686.0,268.0,0.44,0.392,0.838,24.2,10.5,3.6,1.4,11.5,0.12,1.2,3.8,2019
SEC,72.0,63.0,28.3,4.5,8.7,0.521,4.0,7.3,0.547,0.5,1.4,0.384,3.4,5.4,0.632,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,10.51,3,P.J. Washington,12,12,CHO,Kentucky,4.0,229.0,6828.0,2839.0,1264.0,526.0,0.449,0.37,0.721,29.8,12.4,5.5,2.3,9.4,0.066,-1.0,1.8,2019
SEC,37.0,37.0,32.6,5.0,10.9,0.462,3.4,6.3,0.538,1.6,4.6,0.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,10.29,2,Tyler Herro,13,13,MIA,Kentucky,4.0,207.0,6427.0,3602.0,1012.0,710.0,0.441,0.386,0.863,31.0,17.4,4.9,3.4,9.4,0.07,-0.1,3.1,2019
Big 10,32.0,32.0,34.1,5.5,12.3,0.448,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,10.1,2,Romeo Langford,14,14,BOS,Indiana,4.0,125.0,1966.0,549.0,260.0,78.0,0.428,0.292,0.654,15.7,4.4,2.1,0.6,2.0,0.049,-3.0,-0.5,2019
SEC,72.0,38.0,25.5,3.6,7.5,0.481,2.4,4.3,0.55,1.2,3.2,0.389,1.4,2.0,0.703,2.4,3.9,6.3,1.5,1.3,1.0,1.3,1.9,9.9,9.11,3,Chuma Okeke,16,16,ORL,Auburn,3.0,133.0,3274.0,1052.0,604.0,245.0,0.388,0.323,0.802,24.6,7.9,4.5,1.8,4.1,0.06,-0.7,1.1,2019
ACC,67.0,67.0,29.9,4.7,10.1,0.464,3.0,5.6,0.529,1.7,4.5,0.383,2.4,3.1,0.763,0.6,3.4,4.0,2.7,1.4,0.5,2.2,1.9,13.5,7.25,3,Nickeil Alexander-Walker,17,17,BRK,Virginia Tech,4.0,187.0,3520.0,1673.0,463.0,414.0,0.397,0.337,0.721,18.8,8.9,2.5,2.2,1.4,0.019,-2.2,-0.2,2019
Pac 12,135.0,134.0,29.4,3.3,7.6,0.429,1.9,3.7,0.507,1.4,4.0,0.358,1.3,1.6,0.782,0.9,2.2,3.1,2.0,2.5,1.4,1.9,2.8,9.2,7.0,5,Matisse Thybulle,20,20,BOS,Washington,4.0,233.0,4711.0,1030.0,424.0,234.0,0.447,0.324,0.648,20.2,4.4,1.8,1.0,9.6,0.098,0.9,3.5,2019
WCC,98.0,69.0,27.8,6.0,9.3,0.639,5.9,9.1,0.649,0.1,0.2,0.25,2.5,4.0,0.618,2.7,4.9,7.7,1.9,1.0,2.4,1.5,2.2,14.5,2.7,6,Brandon Clarke,21,21,OKC,Gonzaga,4.0,216.0,4644.0,2330.0,1206.0,301.0,0.599,0.29,0.71,21.5,10.8,5.6,1.4,18.1,0.188,2.8,5.6,2019
SEC,104.0,101.0,28.9,5.3,10.2,0.516,5.0,9.2,0.54,0.3,1.0,0.291,4.8,6.4,0.758,2.5,4.0,6.5,2.1,0.9,1.5,2.1,3.2,15.7,10.15,4,Grant Williams,22,22,BOS,Tennessee,4.0,251.0,5234.0,1513.0,827.0,280.0,0.462,0.377,0.795,20.9,6.0,3.3,1.1,10.8,0.099,-1.5,0.7,2019
ACC,105.0,76.0,26.4,3.5,8.0,0.435,1.9,3.9,0.479,1.6,4.0,0.392,1.1,1.4,0.788,0.3,2.8,3.0,3.7,1.2,0.0,1.4,1.9,9.6,10.04,4,Ty Jerome,24,24,PHI,Virginia,4.0,137.0,2360.0,975.0,255.0,331.0,0.414,0.349,0.821,17.2,7.1,1.9,2.4,2.8,0.057,-1.9,0.1,2019
ACC,36.0,0.0,18.2,3.6,7.6,0.478,3.3,6.2,0.527,0.4,1.4,0.269,2.1,2.8,0.77,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,11.35,2,Nassir Little,25,25,POR,UNC,4.0,159.0,2622.0,918.0,522.0,117.0,0.457,0.324,0.721,16.5,5.8,3.3,0.7,3.8,0.07,-2.2,-0.1,2019
MVC,128.0,97.0,29.4,4.6,8.6,0.541,2.9,4.4,0.669,1.7,4.2,0.406,2.2,2.9,0.761,1.6,6.2,7.8,2.0,1.0,0.8,1.6,2.4,13.2,-2.32,5,Dylan Windler,26,26,CLE,Belmont,2.0,81.0,972.0,271.0,196.0,67.0,0.412,0.32,0.8,12.0,3.3,2.4,0.8,1.3,0.063,-1.7,0.1,2019
ACC,71.0,0.0,18.3,3.5,7.0,0.498,3.0,5.8,0.526,0.5,1.3,0.374,2.8,3.9,0.724,2.0,3.3,5.3,0.3,0.5,1.2,1.2,2.4,10.3,9.38,3,Mfiondu Kabengele,27,27,BRK,Florida State,3.0,52.0,352.0,139.0,75.0,19.0,0.39,0.31,0.84,6.8,2.7,1.4,0.4,0.4,0.058,-3.2,-0.1,2019
Big 10,75.0,37.0,22.7,3.1,7.3,0.434,1.6,3.1,0.519,1.5,4.1,0.37,1.6,1.9,0.831,0.1,2.0,2.2,1.4,0.8,0.2,1.1,1.5,9.4,9.98,3,Jordan Poole,28,28,GSW,Michigan,4.0,225.0,5781.0,3372.0,573.0,720.0,0.419,0.334,0.879,25.7,15.0,2.5,3.2,7.3,0.061,-1.8,0.3,2019
SEC,37.0,36.0,30.7,4.6,10.1,0.461,3.4,6.9,0.498,1.2,3.2,0.381,2.9,4.2,0.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,10.29,2,Keldon Johnson,29,29,SAS,Kentucky,4.0,197.0,5815.0,3079.0,1098.0,391.0,0.464,0.373,0.757,29.5,15.6,5.6,2.0,9.8,0.081,-1.2,1.2,2019
Pac 12,21.0,4.0,22.1,3.5,7.5,0.471,2.2,4.2,0.517,1.3,3.2,0.412,1.1,2.2,0.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,4.96,2,Kevin Porter Jr.,30,30,MIL,USC,4.0,177.0,5263.0,2645.0,746.0,874.0,0.428,0.351,0.712,29.7,14.9,4.2,4.9,2.7,0.025,-2.0,0.0,2019
SEC,65.0,37.0,23.0,2.8,6.1,0.457,2.4,4.8,0.5,0.4,1.3,0.302,2.4,4.0,0.611,2.0,4.2,6.2,1.0,0.6,1.9,1.4,2.3,8.4,8.5,3,Nic Claxton,31,31,BRK,Georgia,4.0,132.0,2835.0,1136.0,791.0,142.0,0.679,0.154,0.514,21.5,8.6,6.0,1.1,10.3,0.175,1.3,2.3,2019
Pac 12,52.0,50.0,30.8,4.7,10.7,0.439,4.0,8.5,0.468,0.8,2.3,0.331,3.7,5.4,0.674,1.2,3.7,4.8,1.9,1.0,0.5,2.7,2.8,13.8,6.13,3,KZ Okpala,32,32,PHO,Stanford,4.0,91.0,939.0,221.0,146.0,47.0,0.417,0.295,0.676,10.3,2.4,1.6,0.5,1.1,0.056,-4.6,-0.6,2019
Big 10,108.0,94.0,29.4,5.9,14.2,0.412,3.3,7.2,0.455,2.6,7.1,0.368,3.4,4.2,0.817,0.4,3.0,3.4,2.5,1.2,0.2,2.2,1.9,17.8,9.84,4,Carsen Edwards,33,33,PHI,Purdue,3.0,72.0,706.0,267.0,79.0,52.0,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5,2019
Big 10,64.0,53.0,26.4,4.5,7.6,0.595,4.5,7.4,0.603,0.1,0.2,0.308,2.9,3.8,0.763,2.3,6.5,8.7,1.4,0.5,1.6,2.3,2.8,12.0,9.02,3,Bruno Fernando,34,34,PHI,Maryland,4.0,141.0,1337.0,459.0,408.0,87.0,0.531,0.143,0.611,9.5,3.3,2.9,0.6,1.9,0.067,-3.5,-0.5,2019
MW,122.0,87.0,28.9,3.7,7.4,0.501,3.3,6.1,0.539,0.4,1.3,0.325,1.9,2.7,0.689,1.4,3.2,4.6,3.6,1.3,0.8,1.6,2.3,9.7,6.59,7,Cody Martin,36,36,CHO,Nevada,4.0,177.0,3731.0,1016.0,623.0,371.0,0.456,0.318,0.655,21.1,5.7,3.5,2.1,6.0,0.077,-1.4,0.6,2019
SEC,67.0,58.0,25.5,5.6,8.9,0.635,5.6,8.9,0.635,0.0,0.0,,3.0,5.3,0.562,2.5,4.9,7.4,0.7,0.7,2.1,1.7,3.0,14.3,9.31,3,Daniel Gafford,38,38,CHI,Arkansas,4.0,210.0,3532.0,1594.0,942.0,146.0,0.703,0.0,0.644,16.8,7.6,4.5,0.7,14.1,0.192,1.1,2.8,2019
MW,131.0,73.0,28.1,5.3,11.9,0.442,4.1,8.4,0.487,1.2,3.6,0.337,4.0,5.4,0.731,0.8,4.6,5.4,2.6,0.9,0.5,2.5,2.2,15.7,1.62,5,Justin James,40,40,SAC,Wyoming,2.0,72.0,542.0,228.0,62.0,40.0,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2,2019
Big East,137.0,109.0,29.6,4.3,9.2,0.468,3.1,5.4,0.562,1.2,3.7,0.331,2.5,3.2,0.765,1.5,3.6,5.1,1.5,0.7,0.5,1.9,2.3,12.3,7.55,7,Eric Paschall,41,41,GSW,Villanova,3.0,158.0,3085.0,1552.0,509.0,214.0,0.494,0.326,0.758,19.5,9.8,3.2,1.4,5.0,0.078,-2.2,-0.1,2019
SEC,132.0,95.0,24.9,4.4,9.7,0.458,3.0,6.1,0.501,1.4,3.6,0.387,1.6,2.1,0.763,1.3,4.1,5.3,1.3,0.7,0.4,1.4,2.6,11.9,9.58,5,Admiral Schofield,42,42,PHI,Tennessee,3.0,96.0,1170.0,368.0,188.0,62.0,0.425,0.325,0.796,12.2,3.8,2.0,0.6,1.3,0.054,-4.2,-0.7,2019
Pac 12,70.0,67.0,33.5,6.0,12.6,0.476,4.7,9.4,0.504,1.3,3.2,0.396,2.8,3.5,0.789,1.0,3.7,4.6,2.9,1.2,0.3,2.7,2.5,16.1,6.54,3,Jaylen Nowell,43,43,MIN,Washington,4.0,161.0,2732.0,1438.0,346.0,303.0,0.441,0.325,0.799,17.0,8.9,2.1,1.9,4.3,0.076,-1.5,0.3,2019
Pac 12,9.0,9.0,29.8,8.2,14.7,0.561,6.8,11.9,0.57,1.4,2.8,0.52,3.1,4.1,0.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,6.13,2,Bol Bol,44,44,MIA,Oregon,4.0,90.0,1295.0,585.0,326.0,52.0,0.559,0.385,0.717,14.4,6.5,3.6,0.6,2.1,0.079,-0.5,0.5,2019
Big 10,97.0,52.0,23.9,2.9,6.1,0.476,2.4,4.6,0.523,0.5,1.5,0.336,1.8,2.6,0.702,1.6,3.9,5.5,1.5,0.8,1.6,1.6,2.8,8.1,9.79,4,Isaiah Roby,45,45,DET,Nebraska,4.0,140.0,2716.0,1106.0,633.0,209.0,0.488,0.356,0.679,19.4,7.9,4.5,1.5,4.2,0.075,-2.0,0.0,2019
Big 12,35.0,34.0,27.2,4.4,10.9,0.406,3.0,6.4,0.475,1.4,4.5,0.308,1.6,2.5,0.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,9.3,2,Talen Horton-Tucker,46,46,ORL,Iowa State,4.0,165.0,3430.0,1446.0,451.0,427.0,0.429,0.269,0.776,20.8,8.8,2.7,2.6,3.5,0.049,-2.3,-0.3,2019
Big 10,37.0,37.0,29.6,5.1,11.0,0.462,3.6,7.1,0.5,1.5,3.9,0.392,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,10.55,2,Ignas Brazdeikis,47,47,SAC,Michigan,3.0,64.0,838.0,318.0,122.0,58.0,0.416,0.315,0.686,13.1,5.0,1.9,0.9,0.4,0.024,-4.9,-0.6,2019
ACC,140.0,101.0,25.9,3.6,6.5,0.552,3.2,5.4,0.601,0.4,1.2,0.327,1.8,2.8,0.67,1.9,3.2,5.1,1.9,0.8,0.2,1.4,2.0,9.4,8.95,5,Terance Mann,48,48,LAC,Florida State,4.0,231.0,4855.0,1790.0,878.0,443.0,0.495,0.373,0.783,21.0,7.7,3.8,1.9,12.2,0.12,-0.4,1.9,2019
SEC,131.0,117.0,31.2,5.4,11.2,0.48,4.0,7.4,0.539,1.4,3.9,0.368,3.2,4.0,0.788,1.4,3.7,5.2,2.4,1.5,0.4,2.3,2.3,15.4,6.95,5,Quinndary Weatherspoon,49,49,SAS,Mississippi State,3.0,42.0,272.0,88.0,32.0,24.0,0.452,0.188,0.826,6.5,2.1,0.8,0.6,0.2,0.03,-5.5,-0.2,2019
CAA,123.0,119.0,31.7,5.6,11.6,0.487,4.7,9.0,0.526,0.9,2.6,0.353,3.4,4.4,0.768,1.8,6.0,7.9,1.7,1.2,0.7,2.6,2.9,15.6,-1.6,5,Jarrell Brantley,50,50,IND,College of Charleston,2.0,37.0,234.0,88.0,47.0,26.0,0.438,0.366,0.75,6.3,2.4,1.3,0.7,0.5,0.099,-0.6,0.1,2019
SEC,66.0,61.0,32.7,5.2,12.2,0.423,3.2,6.5,0.496,1.9,5.7,0.34,3.3,4.2,0.807,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,8.59,3,Tremont Waters,51,51,BOS,LSU,3.0,40.0,407.0,149.0,37.0,85.0,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3.0,-0.1,2019
MW,67.0,55.0,27.9,5.0,10.0,0.504,4.6,8.6,0.538,0.4,1.4,0.298,2.7,3.6,0.758,2.1,5.8,7.9,1.5,1.0,0.5,1.8,2.6,13.2,3.19,3,Jalen McDaniels,52,52,CHO,San Diego State,4.0,161.0,3234.0,1243.0,615.0,212.0,0.467,0.351,0.777,20.1,7.7,3.8,1.3,5.0,0.074,-2.4,-0.4,2019
CAA,125.0,82.0,28.1,6.6,13.6,0.483,4.3,7.8,0.555,2.2,5.7,0.386,3.3,4.1,0.811,0.4,2.6,2.9,2.1,0.7,0.2,1.7,1.6,18.6,-1.81,5,Justin Wright-Foreman,53,53,UTA,Hofstra,1.0,4.0,45.0,19.0,5.0,7.0,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0.0,-0.008,-9.0,-0.1,2019
Big 12,137.0,57.0,20.7,3.3,7.1,0.47,2.4,4.6,0.516,0.9,2.4,0.381,1.4,1.7,0.787,0.5,2.2,2.7,1.3,0.7,0.2,1.3,1.5,8.9,9.79,8,Marial Shayok,54,54,PHI,Iowa State,1.0,4.0,28.0,11.0,7.0,1.0,0.25,0.333,0.75,7.0,2.8,1.8,0.3,-0.1,-0.13,-13.0,-0.1,2019
ACC,106.0,78.0,29.1,4.4,10.1,0.433,2.0,4.5,0.444,2.4,5.6,0.425,1.3,1.6,0.806,0.4,2.6,3.0,1.6,0.7,0.0,1.1,1.1,12.5,10.04,4,Kyle Guy,55,55,NYK,Virginia,3.0,53.0,431.0,165.0,53.0,50.0,0.361,0.303,0.75,8.1,3.1,1.0,0.9,0.1,0.006,-4.9,-0.3,2019
Pac 12,64.0,48.0,28.3,4.1,9.9,0.409,2.4,5.4,0.44,1.7,4.6,0.373,2.3,3.0,0.762,0.5,3.3,3.8,4.4,1.2,0.2,2.5,1.4,12.1,6.82,3,Jaylen Hands,56,56,LAC,UCLA,,,,,,,,,,,,,,,,,,2019
SEC,95.0,87.0,26.1,3.6,8.4,0.424,2.6,5.7,0.458,1.0,2.7,0.353,1.6,2.0,0.817,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,10.15,4,Jordan Bone,57,57,NOP,Tennessee,2.0,24.0,249.0,68.0,28.0,26.0,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2,2019
Ivy,87.0,82.0,31.7,5.2,12.1,0.428,3.2,6.5,0.49,2.0,5.6,0.356,2.7,3.5,0.777,0.8,5.4,6.2,3.3,0.9,1.0,2.6,2.8,15.0,-2.08,4,Miye Oni,58,58,GSW,Yale,3.0,80.0,672.0,145.0,108.0,37.0,0.35,0.33,0.75,8.4,1.8,1.4,0.5,1.0,0.07,-2.5,-0.1,2019
ACC,64.0,47.0,21.6,3.5,6.3,0.56,3.5,6.2,0.567,0.0,0.1,0.0,1.6,2.4,0.675,1.7,3.2,4.9,0.3,0.5,0.9,1.2,1.9,8.6,8.26,3,Dewan Hernandez,59,59,TOR,Miami (FL),1.0,6.0,28.0,14.0,14.0,3.0,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0.0,0.043,-9.6,-0.1,2019
SEC,32.0,32.0,33.0,6.3,15.8,0.402,4.1,8.1,0.504,2.3,7.7,0.294,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,8.06,2,Anthony Edwards,1,1,MIN,Georgia,3.0,186.0,6302.0,3915.0,932.0,670.0,0.436,0.347,0.772,33.9,21.0,5.0,3.6,7.4,0.056,-0.2,2.8,2020
AAC,3.0,3.0,23.0,6.7,8.7,0.769,6.7,8.3,0.8,0.0,0.3,0.0,6.3,9.0,0.704,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,5.07,2,James Wiseman,2,2,GSW,Memphis,2.0,58.0,1077.0,578.0,295.0,40.0,0.536,0.325,0.636,18.6,10.0,5.1,0.7,1.4,0.061,-4.4,-0.7,2020
ACC,29.0,0.0,22.5,3.3,7.1,0.459,2.7,5.4,0.503,0.6,1.7,0.32,2.1,2.6,0.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,7.64,2,Patrick Williams,4,4,CHI,Florida State,3.0,130.0,3627.0,1221.0,569.0,167.0,0.478,0.413,0.766,27.9,9.4,4.4,1.3,4.6,0.061,-2.2,-0.2,2020
SEC,28.0,28.0,31.5,4.5,8.7,0.514,3.8,6.2,0.607,0.7,2.5,0.286,3.2,4.8,0.672,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,7.39,2,Isaac Okoro,5,5,CLE,Auburn,3.0,177.0,4978.0,1463.0,512.0,283.0,0.447,0.311,0.75,28.1,8.3,2.9,1.6,6.8,0.065,-3.2,-1.4,2020
Pac 12,28.0,28.0,30.6,6.3,10.1,0.616,6.2,10.0,0.621,0.0,0.1,0.25,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,7.22,2,Onyeka Okongwu,6,6,ATL,USC,3.0,138.0,2559.0,983.0,736.0,111.0,0.649,0.0,0.71,18.5,7.1,5.3,0.8,9.3,0.175,-0.3,1.1,2020
A10,64.0,46.0,29.0,7.0,10.8,0.647,6.3,9.2,0.688,0.7,1.6,0.417,2.5,3.6,0.706,1.4,5.2,6.6,2.0,0.8,1.0,2.0,1.9,17.1,3.3,3,Obi Toppin,8,8,NYK,Dayton,3.0,161.0,2359.0,1101.0,502.0,134.0,0.499,0.32,0.763,14.7,6.8,3.1,0.8,6.3,0.128,0.8,1.7,2020
Big 10,64.0,64.0,28.9,4.9,9.5,0.516,4.1,7.0,0.584,0.8,2.5,0.323,2.9,4.1,0.709,3.0,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5,10.3,3,Jalen Smith,10,10,PHO,Maryland,3.0,118.0,1893.0,924.0,587.0,73.0,0.48,0.3,0.768,16.0,7.8,5.0,0.6,4.3,0.11,-1.4,0.3,2020
ACC,63.0,30.0,19.3,3.1,6.6,0.475,2.0,3.9,0.514,1.1,2.7,0.417,1.1,1.5,0.72,0.8,2.4,3.2,1.1,1.0,0.6,0.6,1.4,8.4,8.95,3,Devin Vassell,11,11,SAS,Florida State,3.0,162.0,3900.0,1776.0,595.0,296.0,0.428,0.37,0.823,24.1,11.0,3.7,1.8,6.2,0.076,-0.4,1.6,2020
