Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
Big East,123.0,117.0,31.2,4.5,9.8,0.457,3.6,7.0,0.51,0.9,2.9,0.328,2.2,3.4,0.659,1.7,3.2,4.8,3.2,1.0,0.2,2.2,2.0,12.1,7.07,5,Sammy Mejia,57,57,DET,DePaul,,,,,,,,,,,,,,,,,,2007
Big 10,111.0,72.0,26.9,3.6,7.8,0.461,3.0,5.9,0.503,0.6,1.9,0.33,2.3,3.7,0.64,1.0,2.3,3.3,2.9,1.8,0.4,2.2,2.4,10.1,8.47,5,D.J. Strawberry,59,59,PHO,Maryland,1.0,33.0,270.0,73.0,28.0,30.0,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,-0.031,-5.6,-0.2,2007
AAC,40.0,39.0,29.2,5.2,10.9,0.477,4.3,8.3,0.521,0.9,2.6,0.337,3.7,5.1,0.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,5.76,2,Derrick Rose,1,1,CHI,Memphis,14.0,698.0,21653.0,12382.0,2279.0,3692.0,0.456,0.316,0.831,31.0,17.7,3.3,5.3,44.4,0.098,1.3,18.4,2008
Big 12,33.0,33.0,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.379,6.5,8.5,0.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,7.79,2,Michael Beasley,2,2,MIA,Kansas State,11.0,609.0,13903.0,7568.0,2861.0,788.0,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-1.7,0.9,2008
Pac 12,33.0,32.0,36.8,7.2,16.2,0.442,4.5,9.7,0.464,2.7,6.5,0.409,3.7,4.6,0.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,8.59,2,O.J. Mayo,3,3,MIN,USC,8.0,547.0,16919.0,7574.0,1706.0,1607.0,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.9,4.7,2008
Pac 12,75.0,35.0,21.9,3.1,6.6,0.464,2.6,5.3,0.491,0.5,1.3,0.354,1.7,2.4,0.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,1.7,8.3,8.77,3,Russell Westbrook,4,4,SEA,UCLA,15.0,1060.0,36536.0,23898.0,7791.0,8915.0,0.437,0.304,0.781,34.5,22.5,7.4,8.4,107.0,0.141,4.1,56.3,2008
Pac 12,39.0,38.0,29.6,5.8,10.4,0.559,5.1,8.3,0.611,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,7.71,2,Kevin Love,5,5,MEM,UCLA,15.0,847.0,25815.0,14619.0,8918.0,1988.0,0.44,0.372,0.829,30.5,17.3,10.5,2.3,90.5,0.168,3.3,34.7,2008
Big 10,32.0,32.0,34.7,5.8,13.3,0.433,3.6,6.8,0.525,2.2,6.5,0.337,7.2,8.7,0.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,6.08,2,Eric Gordon,7,7,LAC,Indiana,15.0,784.0,25296.0,12674.0,1879.0,2204.0,0.428,0.37,0.811,32.3,16.2,2.4,2.8,37.0,0.07,-0.7,8.4,2008
Big 12,82.0,70.0,25.3,4.5,10.0,0.447,3.9,7.9,0.488,0.6,2.1,0.295,2.5,3.3,0.765,1.5,3.3,4.8,2.0,0.6,1.2,1.8,2.2,12.1,7.04,4,Joe Alexander,8,8,MIL,West Virginia,2.0,67.0,745.0,282.0,120.0,44.0,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.6,-0.3,2008
Big 12,73.0,73.0,36.5,5.4,12.2,0.443,3.8,8.2,0.463,1.6,4.1,0.402,4.4,5.5,0.808,0.6,2.3,2.9,6.2,1.4,0.0,3.0,1.9,16.9,7.35,3,D.J. Augustin,9,9,CHA,Texas,14.0,976.0,22851.0,9259.0,1805.0,3761.0,0.412,0.381,0.867,23.4,9.5,1.8,3.9,47.7,0.1,-0.7,7.6,2008
