Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,Conf Tier
SEC,5.0,5.0,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,7.79,1,Darius Garland,5,5,CLE,Vanderbilt,4.0,228.0,7706.0,4178.0,595.0,1520.0,0.447,0.386,0.873,33.8,18.3,2.6,6.7,12.1,0.075,-0.2,3.4,2019,SEC
Big 12,75.0,58.0,29.5,5.3,11.6,0.459,3.9,7.5,0.522,1.4,4.1,0.341,2.9,4.2,0.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2.0,14.9,9.56,2,Jarrett Culver,6,6,PHO,Texas Tech,4.0,144.0,2480.0,934.0,402.0,173.0,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6,2019,Big 12
ACC,35.0,35.0,28.5,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,0.353,3.0,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,1,Coby White,7,7,CHI,UNC,4.0,240.0,6475.0,3057.0,813.0,766.0,0.414,0.366,0.845,27.0,12.7,3.4,3.2,7.1,0.052,-2.3,-0.5,2019,ACC
Big 12,32.0,21.0,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0.0,0.0,,2.3,3.1,0.74,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,11.46,1,Jaxson Hayes,8,8,ATL,Texas,4.0,224.0,3872.0,1731.0,922.0,158.0,0.623,0.306,0.717,17.3,7.7,4.1,0.7,13.5,0.167,0.0,1.9,2019,Big 12
WCC,102.0,39.0,19.7,4.5,7.8,0.579,4.3,7.1,0.607,0.2,0.7,0.316,2.8,3.7,0.746,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1,3.91,3,Rui Hachimura,9,9,WAS,Gonzaga,4.0,183.0,5073.0,2371.0,931.0,255.0,0.479,0.354,0.765,27.7,13.0,5.1,1.4,6.3,0.059,-2.7,-0.9,2019,Other
ACC,36.0,35.0,29.7,4.3,12.0,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,11.98,1,Cam Reddish,10,10,ATL,Duke,4.0,153.0,3751.0,1567.0,456.0,190.0,0.393,0.323,0.844,24.5,10.2,3.0,1.2,1.7,0.021,-3.0,-1.0,2019,ACC
ACC,135.0,90.0,25.4,3.8,8.4,0.457,1.9,3.6,0.523,1.9,4.7,0.405,1.7,2.0,0.817,1.1,3.0,4.1,1.8,0.8,0.3,1.0,1.8,11.2,10.06,5,Cameron Johnson,11,11,MIN,UNC,4.0,199.0,4822.0,2121.0,719.0,278.0,0.443,0.395,0.84,24.2,10.7,3.6,1.4,12.3,0.122,1.3,4.1,2019,ACC
SEC,72.0,63.0,28.3,4.5,8.7,0.521,4.0,7.3,0.547,0.5,1.4,0.384,3.4,5.4,0.632,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,10.51,2,P.J. Washington,12,12,CHO,Kentucky,4.0,241.0,7249.0,2996.0,1315.0,562.0,0.448,0.365,0.719,30.1,12.4,5.5,2.3,9.7,0.065,-1.1,1.7,2019,SEC
SEC,37.0,37.0,32.6,5.0,10.9,0.462,3.4,6.3,0.538,1.6,4.6,0.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,10.29,1,Tyler Herro,13,13,MIA,Kentucky,4.0,217.0,6765.0,3783.0,1062.0,755.0,0.439,0.381,0.864,31.2,17.4,4.9,3.5,9.5,0.068,-0.2,3.2,2019,SEC
Big 10,32.0,32.0,34.1,5.5,12.3,0.448,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,10.1,1,Romeo Langford,14,14,BOS,Indiana,4.0,130.0,2070.0,590.0,276.0,90.0,0.434,0.295,0.638,15.9,4.5,2.1,0.7,2.0,0.047,-3.1,-0.6,2019,Big 10
SEC,72.0,38.0,25.5,3.6,7.5,0.481,2.4,4.3,0.55,1.2,3.2,0.389,1.4,2.0,0.703,2.4,3.9,6.3,1.5,1.3,1.0,1.3,1.9,9.9,9.11,2,Chuma Okeke,16,16,ORL,Auburn,3.0,133.0,3274.0,1052.0,604.0,245.0,0.388,0.323,0.802,24.6,7.9,4.5,1.8,4.1,0.06,-0.7,1.1,2019,SEC
ACC,67.0,67.0,29.9,4.7,10.1,0.464,3.0,5.6,0.529,1.7,4.5,0.383,2.4,3.1,0.763,0.6,3.4,4.0,2.7,1.4,0.5,2.2,1.9,13.5,7.25,2,Nickeil Alexander-Walker,17,17,BRK,Virginia Tech,4.0,194.0,3592.0,1695.0,474.0,423.0,0.398,0.337,0.721,18.5,8.7,2.4,2.2,1.4,0.019,-2.2,-0.2,2019,ACC
Pac 12,135.0,134.0,29.4,3.3,7.6,0.429,1.9,3.7,0.507,1.4,4.0,0.358,1.3,1.6,0.782,0.9,2.2,3.1,2.0,2.5,1.4,1.9,2.8,9.2,7.0,4,Matisse Thybulle,20,20,BOS,Washington,4.0,244.0,4851.0,1066.0,444.0,240.0,0.448,0.325,0.667,19.9,4.4,1.8,1.0,10.1,0.1,1.0,3.7,2019,Pac 12
WCC,98.0,69.0,27.8,6.0,9.3,0.639,5.9,9.1,0.649,0.1,0.2,0.25,2.5,4.0,0.618,2.7,4.9,7.7,1.9,1.0,2.4,1.5,2.2,14.5,2.7,3,Brandon Clarke,21,21,OKC,Gonzaga,4.0,228.0,4882.0,2462.0,1271.0,319.0,0.603,0.29,0.708,21.4,10.8,5.6,1.4,19.3,0.19,2.8,6.0,2019,Other
SEC,104.0,101.0,28.9,5.3,10.2,0.516,5.0,9.2,0.54,0.3,1.0,0.291,4.8,6.4,0.758,2.5,4.0,6.5,2.1,0.9,1.5,2.1,3.2,15.7,10.15,3,Grant Williams,22,22,BOS,Tennessee,4.0,262.0,5506.0,1589.0,874.0,295.0,0.456,0.381,0.796,21.0,6.1,3.3,1.1,11.0,0.096,-1.7,0.5,2019,SEC
ACC,105.0,76.0,26.4,3.5,8.0,0.435,1.9,3.9,0.479,1.6,4.0,0.392,1.1,1.4,0.788,0.3,2.8,3.0,3.7,1.2,0.0,1.4,1.9,9.6,10.04,3,Ty Jerome,24,24,PHI,Virginia,4.0,144.0,2488.0,1020.0,266.0,360.0,0.416,0.353,0.817,17.3,7.1,1.8,2.5,3.3,0.063,-1.7,0.2,2019,ACC
ACC,36.0,0.0,18.2,3.6,7.6,0.478,3.3,6.2,0.527,0.4,1.4,0.269,2.1,2.8,0.77,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,11.35,1,Nassir Little,25,25,POR,UNC,4.0,171.0,2825.0,993.0,546.0,126.0,0.457,0.336,0.711,16.5,5.8,3.2,0.7,4.1,0.069,-2.1,-0.1,2019,ACC
MVC,128.0,97.0,29.4,4.6,8.6,0.541,2.9,4.4,0.669,1.7,4.2,0.406,2.2,2.9,0.761,1.6,6.2,7.8,2.0,1.0,0.8,1.6,2.4,13.2,-2.32,4,Dylan Windler,26,26,CLE,Belmont,2.0,81.0,972.0,271.0,196.0,67.0,0.412,0.32,0.8,12.0,3.3,2.4,0.8,1.3,0.063,-1.7,0.1,2019,Other
ACC,71.0,0.0,18.3,3.5,7.0,0.498,3.0,5.8,0.526,0.5,1.3,0.374,2.8,3.9,0.724,2.0,3.3,5.3,0.3,0.5,1.2,1.2,2.4,10.3,9.38,2,Mfiondu Kabengele,27,27,BRK,Florida State,3.0,53.0,358.0,139.0,76.0,19.0,0.39,0.31,0.84,6.8,2.6,1.4,0.4,0.4,0.054,-3.4,-0.1,2019,ACC
Big 10,75.0,37.0,22.7,3.1,7.3,0.434,1.6,3.1,0.519,1.5,4.1,0.37,1.6,1.9,0.831,0.1,2.0,2.2,1.4,0.8,0.2,1.1,1.5,9.4,9.98,2,Jordan Poole,28,28,GSW,Michigan,4.0,238.0,6189.0,3626.0,622.0,777.0,0.422,0.337,0.877,26.0,15.2,2.6,3.3,8.1,0.063,-1.7,0.4,2019,Big 10
SEC,37.0,36.0,30.7,4.6,10.1,0.461,3.4,6.9,0.498,1.2,3.2,0.381,2.9,4.2,0.703,1.3,4.5,5.9,1.6,0.8,0.2,1.6,2.2,13.5,10.29,1,Keldon Johnson,29,29,SAS,Kentucky,4.0,209.0,6221.0,3356.0,1153.0,421.0,0.466,0.367,0.763,29.8,16.1,5.5,2.0,10.2,0.078,-1.2,1.3,2019,SEC
Pac 12,21.0,4.0,22.1,3.5,7.5,0.471,2.2,4.2,0.517,1.3,3.2,0.412,1.1,2.2,0.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,4.96,1,Kevin Porter Jr.,30,30,MIL,USC,4.0,177.0,5263.0,2645.0,746.0,874.0,0.428,0.351,0.712,29.7,14.9,4.2,4.9,2.5,0.022,-2.0,0.0,2019,Pac 12
SEC,65.0,37.0,23.0,2.8,6.1,0.457,2.4,4.8,0.5,0.4,1.3,0.302,2.4,4.0,0.611,2.0,4.2,6.2,1.0,0.6,1.9,1.4,2.3,8.4,8.5,2,Nic Claxton,31,31,BRK,Georgia,4.0,144.0,3237.0,1342.0,929.0,170.0,0.685,0.143,0.521,22.5,9.3,6.5,1.2,12.1,0.179,1.5,2.9,2019,SEC
Pac 12,52.0,50.0,30.8,4.7,10.7,0.439,4.0,8.5,0.468,0.8,2.3,0.331,3.7,5.4,0.674,1.2,3.7,4.8,1.9,1.0,0.5,2.7,2.8,13.8,6.13,2,KZ Okpala,32,32,PHO,Stanford,4.0,98.0,965.0,222.0,148.0,47.0,0.409,0.286,0.667,9.8,2.3,1.5,0.5,1.0,0.051,-4.8,-0.7,2019,Pac 12
Big 10,108.0,94.0,29.4,5.9,14.2,0.412,3.3,7.2,0.455,2.6,7.1,0.368,3.4,4.2,0.817,0.4,3.0,3.4,2.5,1.2,0.2,2.2,1.9,17.8,9.84,3,Carsen Edwards,33,33,PHI,Purdue,3.0,72.0,706.0,267.0,79.0,52.0,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5,2019,Big 10
Big 10,64.0,53.0,26.4,4.5,7.6,0.595,4.5,7.4,0.603,0.1,0.2,0.308,2.9,3.8,0.763,2.3,6.5,8.7,1.4,0.5,1.6,2.3,2.8,12.0,9.02,2,Bruno Fernando,34,34,PHI,Maryland,4.0,149.0,1442.0,499.0,443.0,95.0,0.529,0.143,0.631,9.7,3.3,3.0,0.6,2.0,0.068,-3.4,-0.5,2019,Big 10
MW,122.0,87.0,28.9,3.7,7.4,0.501,3.3,6.1,0.539,0.4,1.3,0.325,1.9,2.7,0.689,1.4,3.2,4.6,3.6,1.3,0.8,1.6,2.3,9.7,6.59,4,Cody Martin,36,36,CHO,Nevada,4.0,178.0,3752.0,1024.0,628.0,371.0,0.457,0.318,0.658,21.1,5.8,3.5,2.1,6.1,0.078,-1.4,0.6,2019,Other
SEC,67.0,58.0,25.5,5.6,8.9,0.635,5.6,8.9,0.635,0.0,0.0,,3.0,5.3,0.562,2.5,4.9,7.4,0.7,0.7,2.1,1.7,3.0,14.3,9.31,2,Daniel Gafford,38,38,CHI,Arkansas,4.0,220.0,3774.0,1703.0,1014.0,159.0,0.703,0.0,0.649,17.2,7.7,4.6,0.7,15.1,0.192,1.2,3.0,2019,SEC
MW,131.0,73.0,28.1,5.3,11.9,0.442,4.1,8.4,0.487,1.2,3.6,0.337,4.0,5.4,0.731,0.8,4.6,5.4,2.6,0.9,0.5,2.5,2.2,15.7,1.62,4,Justin James,40,40,SAC,Wyoming,2.0,72.0,542.0,228.0,62.0,40.0,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2,2019,Other
Big East,137.0,109.0,29.6,4.3,9.2,0.468,3.1,5.4,0.562,1.2,3.7,0.331,2.5,3.2,0.765,1.5,3.6,5.1,1.5,0.7,0.5,1.9,2.3,12.3,7.55,4,Eric Paschall,41,41,GSW,Villanova,3.0,158.0,3085.0,1552.0,509.0,214.0,0.494,0.326,0.758,19.5,9.8,3.2,1.4,5.0,0.078,-2.2,-0.1,2019,Big East
SEC,132.0,95.0,24.9,4.4,9.7,0.458,3.0,6.1,0.501,1.4,3.6,0.387,1.6,2.1,0.763,1.3,4.1,5.3,1.3,0.7,0.4,1.4,2.6,11.9,9.58,4,Admiral Schofield,42,42,PHI,Tennessee,3.0,98.0,1187.0,368.0,188.0,63.0,0.425,0.325,0.796,12.1,3.8,1.9,0.6,1.3,0.052,-4.3,-0.7,2019,SEC
Pac 12,70.0,67.0,33.5,6.0,12.6,0.476,4.7,9.4,0.504,1.3,3.2,0.396,2.8,3.5,0.789,1.0,3.7,4.6,2.9,1.2,0.3,2.7,2.5,16.1,6.54,2,Jaylen Nowell,43,43,MIN,Washington,4.0,175.0,2993.0,1569.0,380.0,327.0,0.444,0.32,0.796,17.1,9.0,2.2,1.9,4.8,0.076,-1.6,0.3,2019,Pac 12
Pac 12,9.0,9.0,29.8,8.2,14.7,0.561,6.8,11.9,0.57,1.4,2.8,0.52,3.1,4.1,0.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,6.13,1,Bol Bol,44,44,MIA,Oregon,4.0,102.0,1502.0,673.0,378.0,60.0,0.555,0.345,0.725,14.7,6.6,3.7,0.6,2.2,0.071,-0.9,0.4,2019,Pac 12
Big 10,97.0,52.0,23.9,2.9,6.1,0.476,2.4,4.6,0.523,0.5,1.5,0.336,1.8,2.6,0.702,1.6,3.9,5.5,1.5,0.8,1.6,1.6,2.8,8.1,9.79,3,Isaiah Roby,45,45,DET,Nebraska,4.0,147.0,2788.0,1144.0,653.0,213.0,0.489,0.356,0.675,19.0,7.8,4.4,1.4,4.2,0.073,-2.0,0.0,2019,Big 10
Big 12,35.0,34.0,27.2,4.4,10.9,0.406,3.0,6.4,0.475,1.4,4.5,0.308,1.6,2.5,0.625,0.7,4.2,4.9,2.3,1.3,0.7,1.7,2.3,11.8,9.3,1,Talen Horton-Tucker,46,46,ORL,Iowa State,4.0,172.0,3527.0,1499.0,464.0,443.0,0.43,0.271,0.774,20.5,8.7,2.7,2.6,3.6,0.049,-2.3,-0.3,2019,Big 12
Big 10,37.0,37.0,29.6,5.1,11.0,0.462,3.6,7.1,0.5,1.5,3.9,0.392,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,10.55,1,Ignas Brazdeikis,47,47,SAC,Michigan,3.0,64.0,838.0,318.0,122.0,58.0,0.416,0.315,0.686,13.1,5.0,1.9,0.9,0.4,0.024,-4.9,-0.6,2019,Big 10
ACC,140.0,101.0,25.9,3.6,6.5,0.552,3.2,5.4,0.601,0.4,1.2,0.327,1.8,2.8,0.67,1.9,3.2,5.1,1.9,0.8,0.2,1.4,2.0,9.4,8.95,4,Terance Mann,48,48,LAC,Florida State,4.0,245.0,5228.0,1922.0,929.0,481.0,0.494,0.377,0.784,21.3,7.8,3.8,2.0,12.9,0.119,-0.4,2.0,2019,ACC
SEC,131.0,117.0,31.2,5.4,11.2,0.48,4.0,7.4,0.539,1.4,3.9,0.368,3.2,4.0,0.788,1.4,3.7,5.2,2.4,1.5,0.4,2.3,2.3,15.4,6.95,4,Quinndary Weatherspoon,49,49,SAS,Mississippi State,3.0,42.0,272.0,88.0,32.0,24.0,0.452,0.188,0.826,6.5,2.1,0.8,0.6,0.2,0.03,-5.5,-0.2,2019,SEC
CAA,123.0,119.0,31.7,5.6,11.6,0.487,4.7,9.0,0.526,0.9,2.6,0.353,3.4,4.4,0.768,1.8,6.0,7.9,1.7,1.2,0.7,2.6,2.9,15.6,-1.6,4,Jarrell Brantley,50,50,IND,College of Charleston,2.0,37.0,234.0,88.0,47.0,26.0,0.438,0.366,0.75,6.3,2.4,1.3,0.7,0.5,0.099,-0.6,0.1,2019,Other
SEC,66.0,61.0,32.7,5.2,12.2,0.423,3.2,6.5,0.496,1.9,5.7,0.34,3.3,4.2,0.807,0.3,2.8,3.1,5.9,2.5,0.1,3.2,2.1,15.6,8.59,2,Tremont Waters,51,51,BOS,LSU,3.0,40.0,407.0,149.0,37.0,85.0,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3.0,-0.1,2019,SEC
MW,67.0,55.0,27.9,5.0,10.0,0.504,4.6,8.6,0.538,0.4,1.4,0.298,2.7,3.6,0.758,2.1,5.8,7.9,1.5,1.0,0.5,1.8,2.6,13.2,3.19,2,Jalen McDaniels,52,52,CHO,San Diego State,4.0,173.0,3569.0,1364.0,671.0,234.0,0.464,0.343,0.776,20.6,7.9,3.9,1.4,5.1,0.068,-2.6,-0.5,2019,Other
CAA,125.0,82.0,28.1,6.6,13.6,0.483,4.3,7.8,0.555,2.2,5.7,0.386,3.3,4.1,0.811,0.4,2.6,2.9,2.1,0.7,0.2,1.7,1.6,18.6,-1.81,4,Justin Wright-Foreman,53,53,UTA,Hofstra,1.0,4.0,45.0,19.0,5.0,7.0,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0.0,-0.008,-9.0,-0.1,2019,Other
Big 12,137.0,57.0,20.7,3.3,7.1,0.47,2.4,4.6,0.516,0.9,2.4,0.381,1.4,1.7,0.787,0.5,2.2,2.7,1.3,0.7,0.2,1.3,1.5,8.9,9.79,5,Marial Shayok,54,54,PHI,Iowa State,1.0,4.0,28.0,11.0,7.0,1.0,0.25,0.333,0.75,7.0,2.8,1.8,0.3,-0.1,-0.13,-13.0,-0.1,2019,Big 12
ACC,106.0,78.0,29.1,4.4,10.1,0.433,2.0,4.5,0.444,2.4,5.6,0.425,1.3,1.6,0.806,0.4,2.6,3.0,1.6,0.7,0.0,1.1,1.1,12.5,10.04,3,Kyle Guy,55,55,NYK,Virginia,3.0,53.0,431.0,165.0,53.0,50.0,0.361,0.303,0.75,8.1,3.1,1.0,0.9,0.1,0.006,-4.9,-0.3,2019,ACC
Pac 12,64.0,48.0,28.3,4.1,9.9,0.409,2.4,5.4,0.44,1.7,4.6,0.373,2.3,3.0,0.762,0.5,3.3,3.8,4.4,1.2,0.2,2.5,1.4,12.1,6.82,2,Jaylen Hands,56,56,LAC,UCLA,,,,,,,,,,,,,,,,,,2019,Pac 12
SEC,95.0,87.0,26.1,3.6,8.4,0.424,2.6,5.7,0.458,1.0,2.7,0.353,1.6,2.0,0.817,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,10.15,3,Jordan Bone,57,57,NOP,Tennessee,2.0,24.0,249.0,68.0,28.0,26.0,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2,2019,SEC
Ivy,87.0,82.0,31.7,5.2,12.1,0.428,3.2,6.5,0.49,2.0,5.6,0.356,2.7,3.5,0.777,0.8,5.4,6.2,3.3,0.9,1.0,2.6,2.8,15.0,-2.08,3,Miye Oni,58,58,GSW,Yale,3.0,80.0,672.0,145.0,108.0,37.0,0.35,0.33,0.75,8.4,1.8,1.4,0.5,1.0,0.07,-2.5,-0.1,2019,Other
ACC,64.0,47.0,21.6,3.5,6.3,0.56,3.5,6.2,0.567,0.0,0.1,0.0,1.6,2.4,0.675,1.7,3.2,4.9,0.3,0.5,0.9,1.2,1.9,8.6,8.26,2,Dewan Hernandez,59,59,TOR,Miami (FL),1.0,6.0,28.0,14.0,14.0,3.0,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0.0,0.043,-9.6,-0.1,2019,ACC
SEC,32.0,32.0,33.0,6.3,15.8,0.402,4.1,8.1,0.504,2.3,7.7,0.294,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,8.06,1,Anthony Edwards,1,1,MIN,Georgia,3.0,200.0,6825.0,4310.0,1017.0,740.0,0.439,0.35,0.775,34.1,21.6,5.1,3.7,8.5,0.06,0.1,3.6,2020,SEC
AAC,3.0,3.0,23.0,6.7,8.7,0.769,6.7,8.3,0.8,0.0,0.3,0.0,6.3,9.0,0.704,4.3,6.3,10.7,0.3,0.3,3.0,1.0,1.7,19.7,5.07,1,James Wiseman,2,2,GSW,Memphis,2.0,60.0,1098.0,593.0,299.0,40.0,0.541,0.325,0.645,18.3,9.9,5.0,0.7,1.5,0.066,-4.2,-0.6,2020,Other
ACC,29.0,0.0,22.5,3.3,7.1,0.459,2.7,5.4,0.503,0.6,1.7,0.32,2.1,2.6,0.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,7.64,1,Patrick Williams,4,4,CHI,Florida State,3.0,141.0,3952.0,1349.0,630.0,184.0,0.478,0.411,0.777,28.0,9.6,4.5,1.3,5.4,0.065,-2.1,-0.1,2020,ACC
SEC,28.0,28.0,31.5,4.5,8.7,0.514,3.8,6.2,0.607,0.7,2.5,0.286,3.2,4.8,0.672,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9,7.39,1,Isaac Okoro,5,5,CLE,Auburn,3.0,190.0,5311.0,1589.0,552.0,310.0,0.457,0.325,0.743,28.0,8.4,2.9,1.6,8.1,0.073,-2.7,-1.0,2020,SEC
Pac 12,28.0,28.0,30.6,6.3,10.1,0.616,6.2,10.0,0.621,0.0,0.1,0.25,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2,7.22,1,Onyeka Okongwu,6,6,ATL,USC,3.0,150.0,2859.0,1107.0,833.0,123.0,0.657,0.125,0.713,19.1,7.4,5.6,0.8,10.5,0.177,-0.1,1.4,2020,Pac 12
A10,64.0,46.0,29.0,7.0,10.8,0.647,6.3,9.2,0.688,0.7,1.6,0.417,2.5,3.6,0.706,1.4,5.2,6.6,2.0,0.8,1.0,2.0,1.9,17.1,3.3,2,Obi Toppin,8,8,NYK,Dayton,3.0,174.0,2519.0,1169.0,536.0,140.0,0.498,0.331,0.76,14.5,6.7,3.1,0.8,6.7,0.127,0.8,1.8,2020,Other
Big 10,64.0,64.0,28.9,4.9,9.5,0.516,4.1,7.0,0.584,0.8,2.5,0.323,2.9,4.1,0.709,3.0,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5,10.3,2,Jalen Smith,10,10,PHO,Maryland,3.0,126.0,1986.0,979.0,619.0,76.0,0.48,0.297,0.763,15.8,7.8,4.9,0.6,4.4,0.105,-1.6,0.2,2020,Big 10
ACC,63.0,30.0,19.3,3.1,6.6,0.475,2.0,3.9,0.514,1.1,2.7,0.417,1.1,1.5,0.72,0.8,2.4,3.2,1.1,1.0,0.6,0.6,1.4,8.4,8.95,2,Devin Vassell,11,11,SAS,Florida State,3.0,162.0,3900.0,1776.0,595.0,296.0,0.428,0.37,0.823,24.1,11.0,3.7,1.8,6.0,0.074,-0.4,1.5,2020,ACC
Big 12,57.0,56.0,34.6,3.7,7.2,0.509,1.9,3.1,0.621,1.8,4.2,0.426,1.0,1.2,0.775,1.0,3.4,4.4,4.7,1.9,0.8,1.6,1.3,10.1,9.68,2,Tyrese Haliburton,12,12,SAC,Iowa State,3.0,178.0,5878.0,2793.0,653.0,1378.0,0.474,0.406,0.854,33.0,15.7,3.7,7.7,16.1,0.131,3.3,7.9,2020,Big 12
SEC,65.0,65.0,34.5,5.6,12.5,0.447,3.9,7.8,0.498,1.7,4.7,0.362,3.0,3.8,0.793,0.6,3.0,3.6,4.0,1.3,0.4,2.8,2.2,15.9,8.56,2,Kira Lewis Jr.,13,13,NOP,Alabama,3.0,88.0,1357.0,542.0,129.0,183.0,0.4,0.304,0.861,15.4,6.2,1.5,2.1,1.0,0.036,-3.5,-0.5,2020,SEC
SEC,46.0,33.0,31.0,4.8,10.8,0.442,2.2,4.5,0.485,2.6,6.3,0.41,2.6,3.1,0.825,1.0,4.3,5.3,1.3,0.9,0.7,1.6,3.0,14.7,7.1,2,Aaron Nesmith,14,14,BOS,Vanderbilt,3.0,146.0,2401.0,880.0,393.0,102.0,0.416,0.334,0.843,16.4,6.0,2.7,0.7,2.9,0.057,-3.2,-0.8,2020,SEC
ACC,22.0,20.0,34.9,6.0,15.7,0.38,3.7,9.3,0.402,2.2,6.4,0.348,4.4,5.8,0.75,0.5,5.2,5.7,4.0,1.3,0.3,3.5,2.9,18.5,10.05,1,Cole Anthony,15,15,ORL,UNC,3.0,148.0,4244.0,2103.0,734.0,707.0,0.402,0.337,0.856,28.7,14.2,5.0,4.8,3.6,0.041,-1.4,0.7,2020,ACC
Pac 12,32.0,32.0,32.2,6.0,10.5,0.57,5.8,9.9,0.59,0.2,0.6,0.25,4.8,6.2,0.774,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,8.25,1,Isaiah Stewart,16,16,POR,Washington,3.0,183.0,4518.0,1624.0,1429.0,199.0,0.503,0.318,0.719,24.7,8.9,7.8,1.1,9.0,0.096,-2.4,-0.4,2020,Pac 12
Pac 12,30.0,30.0,30.9,4.1,9.6,0.424,3.1,6.8,0.449,1.0,2.8,0.361,2.8,3.6,0.78,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,8.4,1,Josh Green,18,18,DAL,Arizona,3.0,141.0,2294.0,723.0,327.0,158.0,0.516,0.36,0.693,16.3,5.1,2.3,1.1,5.0,0.106,-1.4,0.3,2020,Pac 12
Big East,67.0,60.0,31.6,4.2,9.0,0.469,2.3,4.5,0.522,1.9,4.6,0.418,1.5,2.0,0.728,1.7,3.2,4.9,1.8,0.8,0.4,1.1,2.3,11.9,9.0,2,Saddiq Bey,19,19,BRK,Villanova,3.0,203.0,6090.0,2942.0,995.0,412.0,0.401,0.358,0.842,30.0,14.5,4.9,2.0,9.5,0.075,-0.5,2.4,2020,Big East
AAC,31.0,31.0,30.4,5.9,11.9,0.493,5.5,10.6,0.514,0.4,1.3,0.325,3.6,6.0,0.599,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,5.07,1,Precious Achiuwa,20,20,MIA,Memphis,3.0,165.0,3163.0,1286.0,881.0,142.0,0.47,0.32,0.595,19.2,7.8,5.3,0.9,5.2,0.079,-2.9,-0.7,2020,Other
SEC,31.0,28.0,34.5,4.8,11.3,0.427,3.8,7.7,0.492,1.1,3.6,0.292,3.2,3.9,0.833,0.4,3.9,4.3,3.2,0.9,0.4,2.2,2.4,14.0,7.46,1,Tyrese Maxey,21,21,PHI,Kentucky,3.0,169.0,4678.0,2463.0,436.0,563.0,0.472,0.394,0.848,27.7,14.6,2.6,3.3,11.5,0.118,-0.2,2.1,2020,SEC
Pac 12,32.0,32.0,30.7,5.6,9.8,0.57,5.4,9.3,0.586,0.2,0.5,0.294,4.8,6.3,0.76,3.1,5.5,8.6,0.8,0.7,0.9,2.2,2.4,16.1,8.4,1,Zeke Nnaji,22,22,DEN,Arizona,3.0,127.0,1679.0,629.0,314.0,38.0,0.527,0.402,0.664,13.2,5.0,2.5,0.3,4.2,0.119,-2.4,-0.2,2020,Pac 12
