Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,Conf Tier
Big East,139.0,104.0,27.2,3.7,7.1,0.524,3.7,7.0,0.525,0.0,0.0,0.333,2.2,3.2,0.693,2.5,3.4,5.9,1.0,1.2,0.8,1.8,2.8,9.6,8.7,4,Dante Cunningham,33,33,POR,Villanova,10.0,715.0,14875.0,4133.0,2676.0,506.0,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,0.08,-1.7,1.1,2009,Big East
Big East,101.0,98.0,27.6,3.6,8.3,0.439,2.2,4.2,0.522,1.4,4.1,0.353,2.5,3.4,0.727,1.3,3.1,4.4,1.3,1.0,0.6,2.2,2.4,11.2,8.56,3,DaJuan Summers,35,35,DET,Georgetown,4.0,83.0,820.0,278.0,82.0,29.0,0.384,0.367,0.642,9.9,3.3,1.0,0.3,-0.1,-0.008,-5.8,-0.8,2009,Big East
ACC,143.0,78.0,25.5,5.0,10.1,0.498,4.2,7.8,0.539,0.8,2.3,0.356,2.4,3.4,0.692,1.8,3.2,5.0,1.0,0.8,0.8,1.9,1.7,13.2,8.0,4,Sam Young,36,36,MEM,Pitt,4.0,249.0,3966.0,1436.0,573.0,180.0,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.1,-0.1,2009,ACC
ACC,72.0,71.0,26.6,5.5,9.6,0.568,5.5,9.6,0.568,0.0,0.0,,2.7,4.3,0.614,4.7,6.0,10.7,1.1,1.6,1.0,1.6,2.8,13.6,8.23,2,DeJuan Blair,37,37,SAS,Pitt,7.0,424.0,7054.0,2865.0,2153.0,349.0,0.524,0.0,0.608,16.6,6.8,5.1,0.8,19.0,0.129,-1.2,1.4,2009,ACC
Pac 12,131.0,129.0,28.7,5.5,10.3,0.534,5.5,10.3,0.534,0.0,0.0,0.0,2.8,4.6,0.612,3.7,6.1,9.8,1.0,0.8,0.1,2.1,2.8,13.8,7.16,4,Jon Brockman,38,38,POR,Washington,3.0,150.0,1570.0,320.0,472.0,49.0,0.488,0.0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-3.9,-0.8,2009,Pac 12
Big East,106.0,72.0,25.0,3.7,6.5,0.573,3.2,5.3,0.61,0.5,1.2,0.415,2.4,3.3,0.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,2.5,10.3,4.5,3,Derrick Brown,40,40,CHA,Xavier,3.0,171.0,2554.0,895.0,413.0,119.0,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.3,0.4,2009,Big East
SEC,81.0,42.0,27.7,4.8,10.9,0.436,2.6,5.2,0.491,2.2,5.7,0.386,3.7,4.1,0.89,0.7,2.4,3.0,1.6,1.1,0.1,1.8,1.6,15.4,7.77,3,Jodie Meeks,41,41,MIL,Kentucky,10.0,539.0,12110.0,4988.0,1120.0,583.0,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3,0.096,-0.6,4.2,2009,SEC
SEC,70.0,67.0,34.1,4.1,9.7,0.42,2.1,4.6,0.463,2.0,5.2,0.382,2.8,3.9,0.73,1.2,4.4,5.5,2.8,1.5,0.4,2.0,2.3,13.0,7.74,2,Patrick Beverley,42,42,LAL,Arkansas,11.0,570.0,15598.0,4935.0,2382.0,1952.0,0.413,0.375,0.758,27.4,8.7,4.2,3.4,36.0,0.111,0.9,11.4,2009,SEC
SEC,127.0,107.0,34.1,5.6,13.0,0.43,3.0,6.6,0.457,2.6,6.4,0.402,3.4,4.3,0.789,0.3,2.2,2.6,2.4,0.7,0.2,2.6,1.5,17.1,-1.9,4,Marcus Thornton,43,43,MIA,LSU,8.0,483.0,11299.0,5750.0,1348.0,677.0,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20.0,0.085,0.2,6.2,2009,SEC
CAA,127.0,107.0,34.1,5.6,13.0,0.43,3.0,6.6,0.457,2.6,6.4,0.402,3.4,4.3,0.789,0.3,2.2,2.6,2.4,0.7,0.2,2.6,1.5,17.1,-1.9,4,Marcus Thornton,45,45,BOS,William & Mary,,,,,,,,,,,,,,,,,,2015,Other
SEC,66.0,65.0,32.7,7.1,15.6,0.455,4.5,8.9,0.51,2.5,6.7,0.382,3.7,4.8,0.771,2.0,3.5,5.5,1.8,1.5,0.3,2.0,2.0,20.4,4.46,2,Marcus Thornton,43,43,MIA,LSU,8.0,483.0,11299.0,5750.0,1348.0,677.0,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20.0,0.085,0.2,6.2,2009,SEC
CAA,66.0,65.0,32.7,7.1,15.6,0.455,4.5,8.9,0.51,2.5,6.7,0.382,3.7,4.8,0.771,2.0,3.5,5.5,1.8,1.5,0.3,2.0,2.0,20.4,4.46,2,Marcus Thornton,45,45,BOS,William & Mary,,,,,,,,,,,,,,,,,,2015,Other
Pac 12,100.0,100.0,35.4,6.0,12.8,0.469,4.1,7.8,0.524,1.9,5.0,0.383,3.1,4.0,0.782,1.4,4.4,5.8,2.8,1.3,0.4,2.1,1.8,17.0,9.93,3,Chase Budinger,44,44,DET,Arizona,7.0,407.0,7998.0,3198.0,1240.0,473.0,0.43,0.352,0.797,19.7,7.9,3.0,1.2,13.9,0.083,-0.5,2.9,2009,Pac 12
